company_id,company_name,status,output_file,error
BOSCHLTD,Bosch Ltd,Success,output/reports/BOSCHLTD_tearsheet.pdf,
BRITANNIA,Britannia Industries Ltd,Success,output/reports/BRITANNIA_tearsheet.pdf,
CANBK,Canara Bank,Success,output/reports/CANBK_tearsheet.pdf,
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Success,output/reports/CHOLAFIN_tearsheet.pdf,
CIPLA,"Cipla Ltd
",Success,output/reports/CIPLA_tearsheet.pdf,
COALINDIA,Coal India Ltd,Success,output/reports/COALINDIA_tearsheet.pdf,
DLF,DLF Ltd,Success,output/reports/DLF_tearsheet.pdf,
DABUR,Dabur India Ltd,Success,output/reports/DABUR_tearsheet.pdf,
DIVISLAB,Divis Laboratories Ltd,Success,output/reports/DIVISLAB_tearsheet.pdf,
DRREDDY,Dr Reddys Laboratories Ltd,Success,output/reports/DRREDDY_tearsheet.pdf,
EICHERMOT,Eicher Motors Ltd,Success,output/reports/EICHERMOT_tearsheet.pdf,
GAIL,GAIL (India) Ltd,Success,output/reports/GAIL_tearsheet.pdf,
GODREJCP,Godrej Consumer Products Ltd,Success,output/reports/GODREJCP_tearsheet.pdf,
GRASIM,Grasim Industries Ltd,Success,output/reports/GRASIM_tearsheet.pdf,
HCLTECH,HCL Technologies Ltd,Success,output/reports/HCLTECH_tearsheet.pdf,
HDFCBANK,HDFC Bank Ltd,Success,output/reports/HDFCBANK_tearsheet.pdf,
HDFCLIFE,HDFC Life Insurance Company Ltd,Success,output/reports/HDFCLIFE_tearsheet.pdf,
HAVELLS,Havells India Ltd,Success,output/reports/HAVELLS_tearsheet.pdf,
HEROMOTOCO,"Hero MotoCorp Ltd
",Success,output/reports/HEROMOTOCO_tearsheet.pdf,
HINDALCO,Hindalco Industries Ltd,Success,output/reports/HINDALCO_tearsheet.pdf,
HAL,Hindustan Aeronautics Ltd,Success,output/reports/HAL_tearsheet.pdf,
HINDUNILVR,"Hindustan Unilever Ltd
",Success,output/reports/HINDUNILVR_tearsheet.pdf,
ICICIBANK,ICICI Bank Ltd,Success,output/reports/ICICIBANK_tearsheet.pdf,
ICICIGI,ICICI Lombard General Insurance Company Ltd,Success,output/reports/ICICIGI_tearsheet.pdf,
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Success,output/reports/ICICIPRULI_tearsheet.pdf,
ITC,"ITC Ltd
",Success,output/reports/ITC_tearsheet.pdf,
IOC,"Indian Oil Corporation
",Success,output/reports/IOC_tearsheet.pdf,
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Success,output/reports/IRCTC_tearsheet.pdf,
IRFC,Indian Railway Finance Corporation Ltd,Success,output/reports/IRFC_tearsheet.pdf,
INDUSINDBK,IndusInd Bank Ltd,Success,output/reports/INDUSINDBK_tearsheet.pdf,
NAUKRI,Info Edge (India) Ltd,Success,output/reports/NAUKRI_tearsheet.pdf,
INFY,Infosys Ltd,Success,output/reports/INFY_tearsheet.pdf,
INDIGO,Interglobe Aviation Ltd,Success,output/reports/INDIGO_tearsheet.pdf,
JSWENERGY,JSW Energy Ltd,Success,output/reports/JSWENERGY_tearsheet.pdf,
JSWSTEEL,JSW Steel Ltd,Success,output/reports/JSWSTEEL_tearsheet.pdf,
JINDALSTEL,Jindal Steel & Power Ltd,Success,output/reports/JINDALSTEL_tearsheet.pdf,
JIOFIN,Jio Financial Services Ltd,Success,output/reports/JIOFIN_tearsheet.pdf,
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Success,output/reports/KOTAKBANK_tearsheet.pdf,
LTIM,LTIMindtree Ltd,Success,output/reports/LTIM_tearsheet.pdf,
LT,Larsen & Toubro Ltd,Success,output/reports/LT_tearsheet.pdf,
LICI,Life Insurance Corporation of India,Success,output/reports/LICI_tearsheet.pdf,
LODHA,Macrotech Developers Ltd,Success,output/reports/LODHA_tearsheet.pdf,
M&M,"Mahindra & Mahindra Ltd
",Success,output/reports/M&M_tearsheet.pdf,
MARUTI,Maruti Suzuki India Ltd,Success,output/reports/MARUTI_tearsheet.pdf,
NHPC,"NHPC Ltd
",Success,output/reports/NHPC_tearsheet.pdf,
NTPC,NTPC Ltd,Success,output/reports/NTPC_tearsheet.pdf,
NESTLEIND,Nestle India Ltd,Success,output/reports/NESTLEIND_tearsheet.pdf,
ONGC,Oil & Natural Gas Corpn Ltd,Success,output/reports/ONGC_tearsheet.pdf,
PIDILITIND,Pidilite Industries Ltd,Success,output/reports/PIDILITIND_tearsheet.pdf,
PFC,Power Finance Corporation Ltd,Success,output/reports/PFC_tearsheet.pdf,
POWERGRID,Power Grid Corporation of India Ltd,Success,output/reports/POWERGRID_tearsheet.pdf,
PNB,Punjab National Bank,Success,output/reports/PNB_tearsheet.pdf,
RECLTD,REC Ltd,Success,output/reports/RECLTD_tearsheet.pdf,
RELIANCE,"Reliance Industries Ltd
",Success,output/reports/RELIANCE_tearsheet.pdf,
SBILIFE,SBI Life Insurance Company Ltd,Success,output/reports/SBILIFE_tearsheet.pdf,
MOTHERSON,Samvardhana Motherson International Ltd,Success,output/reports/MOTHERSON_tearsheet.pdf,
SHREECEM,Shree Cement Ltd,Success,output/reports/SHREECEM_tearsheet.pdf,
SHRIRAMFIN,"Shriram Finance Ltd
",Success,output/reports/SHRIRAMFIN_tearsheet.pdf,
SIEMENS,Siemens Ltd,Failed,,No financial ratio data found for SIEMENS
SBIN,State Bank of India,Success,output/reports/SBIN_tearsheet.pdf,
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Success,output/reports/SUNPHARMA_tearsheet.pdf,
TVSMOTOR,TVS Motor Company Ltd,Success,output/reports/TVSMOTOR_tearsheet.pdf,
TCS,Tata Consultancy Services Ltd,Success,output/reports/TCS_tearsheet.pdf,
TATACONSUM,Tata Consumer Products Ltd,Success,output/reports/TATACONSUM_tearsheet.pdf,
TATAMOTORS,Tata Motors Ltd,Success,output/reports/TATAMOTORS_tearsheet.pdf,
TATAPOWER,"Tata Power Company Ltd
",Success,output/reports/TATAPOWER_tearsheet.pdf,
TATASTEEL,"Tata Steel Ltd
",Success,output/reports/TATASTEEL_tearsheet.pdf,
TECHM,Tech Mahindra Ltd,Success,output/reports/TECHM_tearsheet.pdf,
TITAN,"Titan Company Ltd
",Success,output/reports/TITAN_tearsheet.pdf,
TORNTPHARM,Torrent Pharmaceuticals Ltd,Success,output/reports/TORNTPHARM_tearsheet.pdf,
TRENT,Trent Ltd,Success,output/reports/TRENT_tearsheet.pdf,
